ticker,name,score,score_rank,industry_code,industry_name,is_current,is_selected_final,action,reason
056190,에스에프에이,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
059090,미코,,,032601,반도체 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
060250,NHN KCP,,,116601,금융 지원 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
060370,LS마린솔루션,,,064203,전기 및 통신 공사업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
064260,다날,,,105802,소프트웨어 개발 및 공급업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
064350,현대로템,,,033102,철도장비 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
064760,티씨케이,,,032309,기타 비금속 광물제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
066570,LG전자,,,032604,통신 및 방송 장비 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
066970,엘앤에프,,,032802,일차전지 및 이차전지 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
067160,SOOP,,,105802,소프트웨어 개발 및 공급업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
068760,셀트리온제약,,,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
069620,대웅제약,,,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
071050,한국금융지주,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
077970,STX엔진,,,032901,일반 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
078160,메디포스트,,,032101,기초 의약물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
078600,대주전자재료,,,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
078930,GS,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
079370,제우스,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
079550,LIG넥스원,,,032502,무기 및 총포탄 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
081660,미스토홀딩스,,,074604,생활용품 도매업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
083450,GST,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
085620,미래에셋생명,,,116501,보험업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
085660,차바이오텍,,,032101,기초 의약물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
086280,현대글로비스,,,085209,기타 운송관련 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
086450,동국제약,,,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
086520,에코프로,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
086790,하나금융지주,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
086900,메디톡스,,,032101,기초 의약물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
087010,펩트론,,,032101,기초 의약물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
088350,한화생명,,,116501,보험업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
089010,켐트로닉스,,,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
089030,테크윙,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
090360,로보스타,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
090430,아모레퍼시픽,,,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
090460,비에이치,,,032602,전자부품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
090710,휴림로봇,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
093370,후성,,,032001,기초 화학물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
094170,동운아나텍,,,032601,반도체 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
096530,씨젠,,,032103,의료용품 및 기타 의약 관련제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
096770,SK이노베이션,,,031902,석유 정제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
097950,CJ제일제당,,,031008,기타 식품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
100090,SK오션플랜트,,,032401,1차 철강 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
102710,이엔에프테크놀로지,,,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
105560,KB금융,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
105840,우진,,,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
111770,영원무역,,,074608,상품 종합 도매업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
112040,위메이드,,,105802,소프트웨어 개발 및 공급업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
114090,GKL,,,189102,유원지 및 기타 오락관련 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
114810,한솔아이원스,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
115180,큐리언트,,,137001,자연과학 및 공학 연구개발업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
117730,티로보틱스,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
119850,지엔씨에너지,,,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
120110,코오롱인더,,,032005,화학섬유 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
122640,예스티,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
122870,와이지엔터테인먼트,,,105902,오디오물 출판 및 원판 녹음업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
126340,비나텍,,,032802,일차전지 및 이차전지 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
127120,제이에스링크,,,137001,자연과학 및 공학 연구개발업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
131970,두산테스나,,,137309,"그외 기타 전문, 과학 및 기술 서비스업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
138040,메리츠금융지주,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
138930,BNK금융지주,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
139130,iM금융지주,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
139480,이마트,,,074701,종합 소매업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
140410,메지온,,,137001,자연과학 및 공학 연구개발업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
140860,파크시스템스,,,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
141080,리가켐바이오,,,137001,자연과학 및 공학 연구개발업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
160190,하이젠알앤엠,,,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
161390,한국타이어앤테크놀로지,,,032201,고무제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
161580,필옵틱스,,,032902,특수 목적용 기계 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
161890,한국콜마,,,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
174900,앱클론,,,032103,의료용품 및 기타 의약 관련제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
175330,JB금융지주,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
