ticker,industry_code,industry_name
036170,032601,반도체 제조업
462020,116601,금융 지원 서비스업
477340,116601,금융 지원 서비스업
148930,032509,기타 금속 가공제품 제조업
044780,032902,특수 목적용 기계 제조업
357230,031008,기타 식품 제조업
355690,032602,전자부품 제조업
071670,032902,특수 목적용 기계 제조업
045660,032603,컴퓨터 및 주변장치 제조업
224110,032604,통신 및 방송 장비 제조업
021080,116402,신탁업 및 집합투자업
200470,032601,반도체 제조업
207490,032804,전구 및 조명장치 제조업
262260,032809,기타 전기장비 제조업
007460,032509,기타 금속 가공제품 제조업
003060,032102,의약품 제조업
397030,137001,자연과학 및 공학 연구개발업
244920,116602,보험 및 연금관련 서비스업
278470,032004,기타 화학제품 제조업
000009,137001,자연과학 및 공학 연구개발업
230240,032604,통신 및 방송 장비 제조업
159910,032004,기타 화학제품 제조업
230360,137103,광고업
038870,147401,사업시설 유지·관리 서비스업
097780,033003,자동차 신품 부품 제조업
448280,137106,기타 전문 서비스업
101360,032004,기타 화학제품 제조업
128540,033003,자동차 신품 부품 제조업
086520,116409,기타 금융업
450080,032802,일차전지 및 이차전지 제조업
247540,032802,일차전지 및 이차전지 제조업
383310,032004,기타 화학제품 제조업
038110,033003,자동차 신품 부품 제조업
073540,032604,통신 및 방송 장비 제조업
064850,106309,기타 정보 서비스업
036810,032602,전자부품 제조업
173940,189001,창작 및 예술관련 서비스업
083500,032902,특수 목적용 기계 제조업
446440,137001,자연과학 및 공학 연구개발업
054940,064204,실내건축 및 건축마무리 공사업
950130,032103,의료용품 및 기타 의약 관련제품 제조업
373110,032101,기초 의약물질 제조업
205100,105802,소프트웨어 개발 및 공급업
356680,105802,소프트웨어 개발 및 공급업
070300,105802,소프트웨어 개발 및 공급업
317770,032602,전자부품 제조업
373200,033309,그외 기타 제품 제조업
069920,074709,무점포 소매업
092870,032902,특수 목적용 기계 제조업
019490,032605,영상 및 음향기기 제조업
059180,032604,통신 및 방송 장비 제조업
317870,033309,그외 기타 제품 제조업
067570,033003,자동차 신품 부품 제조업
000004,032509,기타 금속 가공제품 제조업
236810,137103,광고업
140610,137001,자연과학 및 공학 연구개발업
333620,032809,기타 전기장비 제조업
101400,032601,반도체 제조업
036570,105802,소프트웨어 개발 및 공급업
475230,032509,기타 금속 가공제품 제조업
224760,064102,토목 건설업
451700,116601,금융 지원 서비스업
466910,116601,금융 지원 서비스업
481890,116601,금융 지원 서비스업
000054,116601,금융 지원 서비스업
000130,116601,금융 지원 서비스업
265740,032004,기타 화학제품 제조업
354200,137309,"그외 기타 전문, 과학 및 기술 서비스업"
455900,032902,특수 목적용 기계 제조업
419080,032902,특수 목적용 기계 제조업
093510,033003,자동차 신품 부품 제조업
183490,032101,기초 의약물질 제조업
085310,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
182400,032101,기초 의약물질 제조업
348370,032001,기초 화학물질 제조업
069410,105802,소프트웨어 개발 및 공급업
227950,032902,특수 목적용 기계 제조업
291230,147509,기타 사업지원 서비스업
048830,032002,합성고무 및 플라스틱 물질 제조업
096870,032601,반도체 제조업
276240,032605,영상 및 음향기기 제조업
900140,074501,자동차 판매업
290650,032102,의약품 제조업
066970,032802,일차전지 및 이차전지 제조업
156100,032701,의료용 기기 제조업
311060,032902,특수 목적용 기계 제조업
073110,032602,전자부품 제조업
083310,032902,특수 목적용 기계 제조업
037950,032602,전자부품 제조업
489500,032004,기타 화학제품 제조업
170920,032001,기초 화학물질 제조업
058630,105802,소프트웨어 개발 및 공급업
226590,032602,전자부품 제조업
058970,105802,소프트웨어 개발 및 공급업
169330,137104,시장조사 및 여론조사업
097520,032605,영상 및 음향기기 제조업
373170,105802,소프트웨어 개발 및 공급업
179290,032701,의료용 기기 제조업
484870,032902,특수 목적용 기계 제조업
009780,031008,기타 식품 제조업
123040,033003,자동차 신품 부품 제조업
432980,032101,기초 의약물질 제조업
413390,032902,특수 목적용 기계 제조업
032790,074605,기계장비 및 관련 물품 도매업
033160,032602,전자부품 제조업
347890,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
033310,032602,전자부품 제조업
259630,032902,특수 목적용 기계 제조업
105550,032602,전자부품 제조업
060850,105802,소프트웨어 개발 및 공급업
014440,032202,플라스틱제품 제조업
143540,032902,특수 목적용 기계 제조업
111770,074608,상품 종합 도매업
009970,116409,기타 금융업
003520,032102,의약품 제조업
000670,032402,1차 비철금속 제조업
012280,033003,자동차 신품 부품 제조업
265560,033003,자동차 신품 부품 제조업
012160,032401,1차 철강 제조업
036000,105801,"서적, 잡지 및 기타 인쇄물 출판업"
250930,032202,플라스틱제품 제조업
053280,074709,무점포 소매업
122640,032902,특수 목적용 기계 제조업
476040,137001,자연과학 및 공학 연구개발업
900300,116409,기타 금융업
212310,032701,의료용 기기 제조업
045060,032004,기타 화학제품 제조업
192410,032604,통신 및 방송 장비 제조업
080520,032601,반도체 제조업
007310,031008,기타 식품 제조업
039830,137302,전문디자인업
322310,032902,특수 목적용 기계 제조업
046120,137209,기타 과학기술 서비스업
475830,032101,기초 의약물질 제조업
014940,032901,일반 목적용 기계 제조업
002630,032102,의약품 제조업
065500,033003,자동차 신품 부품 제조업
271560,031008,기타 식품 제조업
001800,116409,기타 금융업
010470,137103,광고업
417860,105802,소프트웨어 개발 및 공급업
