ticker,industry4,CFO_warn,CFO_isnull,quarter,year,corp_code,name,rebalance_month,score_total,score_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,Quality_CFO_to_Assets__contrib,CFO_isnull__raw,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult,CFO_isnull__contrib,score,score_adj,rebalance_month_end,w,group_value,price_date,current_price
104830,20121,0,0,2,2017,00623661,원익머트리얼즈,2017-08-31,0.6412926872396439,7.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.11286890648163135,-1.3583261574493184,295.0,1.0,0.4754141551072614,0.1574560857106762,1.362049063079234,26.0,1.0,0.1362049063079234,0,-0.296736258244591,26.0,1.0,0.0296736258244591,0.6412926872396439,0.6412926872396439,2017-08-31,0.1,20121,2017-08-31,39450
000660,2612,0,0,2,2017,00164779,SK하이닉스,2017-08-31,0.6050458651175562,8.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.3006505478372178,-0.8959255301503757,244.0,1.0,0.31357393555263147,0.24768028285006546,2.6179830374046564,1.0,1.0,0.26179830374046564,0,-0.296736258244591,26.0,1.0,0.0296736258244591,0.6050458651175562,0.6050458651175562,2017-08-31,0.1,2612,2017-08-31,68600
010130,24213,0,0,2,2017,00102858,고려아연,2017-08-31,0.5966484156954615,9.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.1271363685691244,-1.3231934183189369,293.0,1.0,0.46311769641162787,0.13421795772673395,1.038570934593745,46.0,1.0,0.10385709345937451,0,-0.296736258244591,26.0,1.0,0.0296736258244591,0.5966484156954615,0.5966484156954615,2017-08-31,0.1,24213,2017-08-31,516000
031980,29271,0,0,2,2017,00208444,피에스케이홀딩스,2017-08-31,0.5916845594309256,10.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.20792279929763938,-1.1242618509067077,280.0,1.0,0.3934916478173477,0.18067019572242568,1.6851928578911881,15.0,1.0,0.16851928578911882,0,-0.296736258244591,26.0,1.0,0.0296736258244591,0.5916845594309256,0.5916845594309256,2017-08-31,0.1,29271,2017-08-31,20723
214370,211,0,0,3,2017,00549891,케어젠,2017-11-30,0.8590056623758054,1.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.07615039446564854,-1.4428415348721635,307.0,1.0,0.5049945372052572,0.29901010215821255,3.2380285221996434,4.0,1.0,0.32380285221996435,0,-0.30208272950583825,27.0,1.0,0.030208272950583828,0.8590056623758054,0.8590056623758054,2017-11-30,0.1,211,2017-11-30,12832
240810,292,0,0,3,2017,01135941,원익IPS,2017-11-30,0.6978507040231411,2.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.28126718084643754,-0.9340905808187902,250.0,1.0,0.32693170328657656,0.3111800989597389,3.4071072778598075,1.0,1.0,0.34071072778598077,0,-0.30208272950583825,27.0,1.0,0.030208272950583828,0.6978507040231411,0.6978507040231411,2017-11-30,0.1,292,2017-11-30,34600
000660,2612,0,0,3,2017,00164779,SK하이닉스,2017-11-30,0.6753892839708407,3.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.27607430396856103,-0.9469704679919289,254.0,1.0,0.3314396637971751,0.2917680046426196,3.137413472230818,5.0,1.0,0.31374134722308183,0,-0.30208272950583825,27.0,1.0,0.030208272950583828,0.6753892839708407,0.6753892839708407,2017-11-30,0.1,2612,2017-11-30,76800
095610,29271,0,0,3,2017,00524421,테스,2017-11-30,0.6724617229266856,4.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.23745324438560272,-1.0427622423077851,269.0,1.0,0.36496678480772476,0.26552855414074056,2.77286665168377,6.0,1.0,0.277286665168377,0,-0.30208272950583825,27.0,1.0,0.030208272950583828,0.6724617229266856,0.6724617229266856,2017-11-30,0.1,29271,2017-11-30,38100
058470,2629,0,0,3,2017,00369657,리노공업,2017-11-30,0.6381628851054505,5.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.10308025053436493,-1.376047440594355,300.0,1.0,0.4816166042080242,0.1568783178406166,1.2633800794684245,29.0,1.0,0.12633800794684244,0,-0.30208272950583825,27.0,1.0,0.030208272950583828,0.6381628851054505,0.6381628851054505,2017-11-30,0.1,2629,2017-11-30,11293
237690,212,0,0,3,2017,00871833,에스티팜,2017-11-30,0.6248366576817567,6.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.10195042162008806,-1.3788497540870615,302.0,1.0,0.48259741393047145,0.14658035961233293,1.1203097080070143,35.0,1.0,0.11203097080070144,0,-0.30208272950583825,27.0,1.0,0.030208272950583828,0.6248366576817567,0.6248366576817567,2017-11-30,0.1,212,2017-11-30,35100
